Island Country EEZ,Soveriegn,Population,GDP,GDP_capita,GDP growth rate,Political,abm p,abm e,abm f,EDB,FDI,FDI_potential,Control of Corruption,Political Stability,FDI,GDP growth rate,Attitude of Governement,Conflict,Corruption,GDP per capita,FDI potential,Inflation rates
Anguilla,UK,15000.0,0.3,21493.0,,0.8,2.0,2.0,2.0,,85.5,,1.25,0.92,85.5,,,,,21493.0,,
Antigua and Barbuda ,Antigua and Barbuda,93581.0,2.2,24100.0,2.0,0.6,2.0,2.0,2.0,58.0,154.1,126,0.67,0.77,154.1,2.0,,,,24100.0,126,
Aruba,Netherlands,113648.0,2.5,25300.0,2.4,0.9,,,,,-22.57,,,0.92,-22.57,2.4,,,,25300.0,,
Bahamas,Bahamas,327316.0,9.1,24600.0,0.3,0.8,2.0,2.0,2.0,56.7,384.9,95,1.29,0.8,384.9,0.3,50,,66,24600.0,95,76.1
Barbados ,Barbados,291495.0,4.8,17200.0,1.7,1.2,1.0,2.0,3.0,57.4,254.5,97,1.79,1.32,254.5,1.7,75,,61,17200.0,97,83.7
Bonaire,Netherlands,18659.0,0.4,21500.0,-3.3,,,,,,,,,,,-3.3,,,,21500.0,,
British Virgin Islands ,UK,34232.0,0.5,42300.0,1.3,,1.0,1.0,1.0,,51605.0,,,,51605.0,1.3,,,,42300.0,,
Cayman Islands,UK,57268.0,2.5,43800.0,1.7,0.9,1.0,1.0,1.0,,18987.4,,1.03,1.19,18987.4,1.7,,,,43800.0,,
Cuba,Cuba,11179995.0,128.5,11600.0,1.3,-0.5,,,,,,,0.07,0.58,,1.3,10,,47,11600.0,,66
CuraÌ¤,Netherlands,149035.0,3.1,15000.0,3.6,,2.0,2.0,1.0,,175.14,,,,175.14,3.6,,,,15000.0,,
Dominica,Dominica,73757.0,0.8,11400.0,1.5,0.7,,,,60.3,35.96,145,0.62,1.19,35.96,1.5,75,,59,11400.0,145,89.5
Dominican Republic ,Dominican Republic,10606865.0,160.9,15900.0,5.9,-0.2,3.0,2.0,4.0,59.4,2221.5,79,-0.77,0.17,2221.5,5.9,75,,31,15900.0,79,76.7
Grenada,Grenada,111219.0,1.5,14100.0,3.0,0.3,,,,53.8,60.67,,0.31,0.81,60.67,3.0,,,56,14100.0,,
Guadeloupe,France,402119.0,8.0,25479.0,,,,,,,,,,,,,,,,25479.0,,
Haiti,Haiti,10485800.0,19.4,1800.0,1.5,-1.2,,,,38.7,104.2,160,-1.26,-0.73,104.2,1.5,,,20,1800.0,160,73.8
Jamaica,Jamaica,2970340.0,25.4,9000.0,1.5,0.1,2.0,3.0,4.0,67.5,794.5,88,-0.33,0.09,794.5,1.5,80,,,9000.0,88,
Martinque,France,385552.0,10.7,27688.0,,0.8,,,,,,,1.25,1.01,,,,,39,27688.0,,
Montserrat,UK,5267.0,0.0,8500.0,3.5,,,,,,4.15,,,,4.15,3.5,,,,8500.0,,
Puerto Rico,US,3578056.0,131.0,37700.0,-1.8,0.6,,,,69.8,78.16,,0.13,0.84,78.16,-1.8,,,,37700.0,,
Saba,Netherlands,1920.0,0.0,23600.0,9.4,,,,,,,,,,,9.4,,,,23600.0,,
Saint Kitts and Nevis,Saint Kitts and Nevis,52329.0,1.4,25500.0,12.8,0.4,2.0,2.0,1.0,54.0,75.7,,0.27,0.67,75.7,12.8,,,,25500.0,,
Saint Lucia ,Saint Lucia,164464.0,2.1,12000.0,1.5,0.6,1.0,2.0,2.0,63.1,95.0,,0.45,0.86,95.0,1.5,65,,60,12000.0,,82.3
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,102350.0,1.2,11300.0,1.8,,,,,55.9,120.74,149,,,120.74,1.8,75,,60,11300.0,149,82.9
Saint-Barthelemy,France,7209.0,0.2,27737.0,,,,,,,,,,,,,,,,27737.0,,
Saint-Martin ,France,31949.0,561.5,19300.0,,,2.0,2.0,1.0,,,,,,,,,,,19300.0,,
Sint- Eustatius,Netherlands,3960.0,0.1,26400.0,-2.1,,,,,,,,,,,-2.1,,,,26400.0,,
Sint-Maarten,Netherlands,74852.0,0.4,15469.0,,,,,,,10.76,,,,10.76,,,,,15469.0,,
Trinidad and Tobago ,Trinidad and Tobago,1220479.0,43.6,31900.0,-2.8,0.1,2.0,2.0,2.0,61.0,1618.6,78,-0.54,0.27,1618.6,-2.8,60,,35,31900.0,78,75.9
Turks and Caicos,UK,41430.0,632.0,29100.0,11.2,,,,,,,,,,,11.2,,,,29100.0,,
Virgin Islands,US,102951.0,3.8,36100.0,-5.4,0.9,,,,,,,0.67,1.32,,-5.4,,,,36100.0,,
,,,,,,,,,,,,,,,,,,,,,,