"","Country","EEZ suitable area (km^2)"
"1",1,149.431182132947
"2",2,261.875884791092
"3",3,2813.46136425526
"4",4,284.963153088491
"5",5,43304.3562994929
"6",6,4073.11055136663
"7",7,22616.8129939042
"8",8,2657.52513088497
"9",9,19500.0179292014
"10",10,2.56427264040133
"11",11,17214.8471626645
"12",12,72.0460552633945
"13",13,635.832864594106
"14",14,52001.2008403246
"15",15,188275.954339126
"16",16,1845694.4538277
"17",17,144556.439658469
"18",18,32953.5854882116
"19",19,3458.00332052665
"20",20,205928.372865311
"21",21,31835.1511033939
"22",22,7978.80143037165
"23",23,12660.1333039433
"24",24,47324.7456425092
"25",25,227528.069247168
"26",26,23882.4387643892
"27",27,13419.9679507965
"28",28,949.324299524509
"29",29,1848.24501004661
"30",30,994.767607547177
"31",31,45445.1223567598
"32",32,290.275616748421
"33",33,1419.20238166045
"36",36,31.244243582797
"37",37,25227.4620635748
"38",38,18915.4982701305
"39",39,25585.1202024103
"40",40,29217.4189352627
"41",41,73978.4737424735
"42",42,108205.893573904
"43",43,5106.62146103155
"44",44,35443.6382360667
"45",45,55605.1035732828
"46",46,1483.45338319018
"47",47,41792.7935742479
"48",48,43376.241839332
"49",49,13343.0171296178
"50",50,87816.5279259946
"51",51,11633.1242616076
"52",52,7520.06723752516
"53",53,39474.3198752666
"54",54,51692.1410078918
"55",55,930.884930307666
"56",56,3460.8246754456
"57",57,641.49550954272
"58",58,3707.92185579942
"59",59,3446.14961230038
"60",60,37.3252625863519
"61",61,53963.5000759536
"62",62,37906.2941267013
"63",63,56039.4033058574
"64",64,27129.8395530161
"65",65,5300.07450171231
"66",66,20551.4248630588
"67",67,41139.989180403
"68",68,1644.2447235498
"69",69,21587.5427413919
"70",70,32953.5600605694
"71",71,10200.9587424118
"72",72,20410.0345887189
"73",73,3116522.22900618
"74",74,1642.74822426918
"75",75,71701.1608552513
"76",76,37063.6387736453
"77",77,571.8519166251
"78",78,819.757952970497
"79",79,3015.99452314856
"80",80,39014.0907862063
"81",81,1839.4594097087
"82",82,4204.81117305313
"84",84,6469.43916950823
"85",85,56.7148672273475
"86",86,490.829121331242
"87",87,92.8648668671719
"88",88,731.415587765561
"89",89,3603.50830966613
"90",90,734.485019773276
"91",91,2599.05196467124
"92",92,36.1404634589856
"93",93,15040.9230758778
"94",94,398.137618054874
"95",95,29189.205475478
"96",96,23066.7504458945
"97",97,16217.4320055464
"98",98,1078.67951576191
"99",99,2968.427836441
"100",100,5793.17298965613
"101",101,27277.5220779619
"102",102,59190.8967016595
"103",103,1424.56491720663
"104",104,10274.4342393145
"105",105,64.292646482399
"106",106,21089.3750781095
"107",107,10.0929420723061
"108",108,1010.0625745056
"109",109,2904.32564514738
"110",110,109101.469499975
"111",111,4034.50695695664
"112",112,59844.4789750111
"113",113,306.294813466677
"114",114,3700.64266312399
"115",115,8770.02534493235
"116",116,6876.64738855432
"117",117,2856.29075824455
"118",118,1769.73308591135
"119",119,658.00601102629
"120",120,3316.91726265801
"121",121,112.146587318753
"122",122,455.617419923396
"123",123,290.94656644929
"124",124,158.165515632372
"125",125,1662.26984485528
"126",126,17434.6890138503
"127",127,1647.17380728647
"129",129,40373.1058321368
"130",130,12658.8625024592
"131",131,72269.7238100593
"132",132,39337.6963178867
"133",133,55795.2417179535
"134",134,12983.2160261415
"135",135,328785.237565894
"136",136,10956.8345370865
"137",137,22952.1194227355
"138",138,43305.2446997781
"139",139,93666.7805129059
"140",140,2574.42779074534
"141",141,6403.97329230017
"143",143,42540.888837302
"144",144,455.699599353533
"145",145,134066.373865627
"146",146,65.3679746269986
"147",147,19443.0384756989
"148",148,809.674332113525
"149",149,0.854777669236536
"150",150,107.924182542304
"151",151,353.732998242153
"152",152,1255.34008633503
"153",153,741.198343226482
"154",154,122.139860274711
"155",155,5832.81654600743
"156",156,118.133737622627
"157",157,509.550420098262
"158",158,79.4875953364744
"159",159,186.708546586972
"160",160,16033.0555301558
"161",161,1439.3239780446
"162",162,135221.025482429
"163",163,625769.186137403
"164",164,9673.25857200231
"165",165,1452.91815758238
"166",166,11642.4949418252
"167",167,47893.4276882526
"168",168,48209.7941847758
"169",169,39326.4784070421
"170",170,1047140.50236786
"171",171,624853.187079692
"172",172,535048.125878623
"173",173,60582.0360810596
"174",174,69697.6726464611
"175",175,96515.4848441339
"176",176,56429.4103033109
"177",177,64274.929981739
"178",178,30699.1908813358
"179",179,97811.5390739069
"180",180,339856.955457796
"181",181,64197.2783059662
"182",182,41674.77717492
"183",183,14184.9054697945
"184",184,70983.9621438008
"185",185,4.94960746558369
"186",186,2008.71498118651
"187",187,26788.324280385
"188",188,180.396733683578
"189",189,6028.41968017156
"190",190,31586.978080508
"191",191,120284.982100877
"192",192,509.819582571815
"193",193,33174.2922506886
"194",194,46475.2787641621
"195",195,10386.2347166543
"196",196,36078.7951455547
"197",197,10890.0374374501
"198",198,30227.0400491718
"199",199,1727.50812590139
"200",200,36209.7299568863
"201",201,0
"202",202,16019.1450773908
"203",203,340507.729131639
"204",204,50404.9597182555
"205",205,187277.37587767
"206",206,347880.5823811
"207",207,343741.524492089
"208",208,569.155292123556
"209",209,766698.912886383
"210",210,154822.855417253
"211",211,13461.0120850092
"212",212,3879.77932320917
"213",213,78309.8506498478
"214",214,46647.4423295296
"215",215,2.97747306846658
"216",216,1690659.52279969
"217",217,8806.90279962009
"218",218,1495441.47168981
"220",220,124.420988979947
"221",221,2024.06641945424
"222",222,121539.339698755
"223",223,195394.47481494
"225",225,70.2190184620613
"226",226,25.8882461570452
"227",227,2922.14225239948
"228",228,8505.93671836077
"231",231,1549.87257110063
"232",232,6.26954405312395
"238",238,17133.7200336388
"239",239,3655.84441245179
"240",240,99435.4865532935
"241",241,19552.6406206361
"242",242,85971.355932996
"243",243,63276.6666271155
"244",244,1032.64290974745
"245",245,83.5525173550509
"246",246,101.945151388097
"247",247,7712.11844547164
"248",248,1962.20399272792
"249",249,123.973651670147
"250",250,10099.244964152
"260",260,0
