Island Country EEZ,Soveriegn,Attitude of Governement,Conflict,Corruption,GDP per capita,FDI potential*,Inflation rates,Regulatory Quality,Political Stability,Control of Corruption,FDI,Inflation,ease of doing business,Trade as % GDP,CPI Growth,GDP growth,GDP,Population,export
Anguilla,UK,,,,21382,,,0.89,1.32,1.25,85.45,,,-13.29,-1.86,2.45,0.3,15000.0,
Antigua and Barbuda ,Antigua and Barbuda,,,,14253,31,,0.53,1.07,0.67,154.06,,,-14.83,0.72,4.1,2.2,93581.0,45.3
Aruba,Netherlands,,,,26406,,,1.38,1.26,1.31,-22.57,-0.3,,17.29,0.48,2.5,2.5,113648.0,
Bahamas,Bahamas,50,,66,21962,82,77,0.25,0.96,1.29,384.91,0.8,121,-8.57,1.86,-1.7,9.1,327316.0,38.6
Barbados ,Barbados,75,,61,15253,80,83.7,0.51,1.32,1.79,254.52,-0.5,117,-6.74,-1.2,0.8,4.8,291495.0,37.3
Bonaire,Netherlands,,,,21000,,,,,,,,,,,,0.4,18659.0,
British Virgin Islands ,UK,,,,30880,,,,,,51605,,,,0.84,2.2,0.5,34232.0,
Cayman Islands,UK,,,,57458,,,0.82,1.19,1.03,18987.38,,,,-2.93,2,2.5,57268.0,
Cuba,Cuba,10,,47,7929,,66,-1.25,0.58,0.07,,4.5,,3.03,4.61,4.3,128.5,11179995.0,
Curaí_,Netherlands,,,,19869,,,,,,175.14,,,-1761,0,-1.13,3.1,149035.0,
Dominica,Dominica,75,,59,7089,32,89.5,0.26,1.19,0.62,35.96,,101,-14.4,-1.48,-1.8,0.8,73757.0,40.9
Dominican Republic ,Dominican Republic,75,3,31,6388,98,76.7,-0.04,0.17,-0.77,2221.5,3.34,103,-4.35,0.84,7,160.9,10606865.0,24.7
Grenada,Grenada,,,56,8610,,,0.01,0.81,0.31,60.67,,,-16.17,-1,5.1,1.5,111219.0,26.9
Guadeloupe,France,,,,21780,,,,,,,,,,,,8.0,402119.0,
Haiti,Haiti,40,3,20,790,17,73.8,-1.16,-0.73,-1.26,104.2,13.9,181,-31.67,9.02,1.2,19.4,10485800.0,20
Jamaica,Jamaica,80,3,,4945,89,79.5,0.11,0.09,-0.33,794.48,3.6,67,-16.99,3.68,0.8,25.4,2970340.0,29.8
Martinque,France,,,39,24118,,,1.25,1.01,1.25,,,,,,,10.7,385552.0,
Montserrat,UK,,,,12407,,,,,,4.15,,,-52.23,-1.18,2,64.0,5267.0,
Puerto Rico,US,,,,15900,,,0.98,0.84,0.13,78.16,,,,,,131.0,3578056.0,
Saba,Netherlands,,,,23600,,,,,,,,,,,,0.0,1920.0,
Saint Kitts and Nevis,Saint Kitts and Nevis,,,,15645,,,0.17,0.67,0.27,75.67,,,-9.81,-1.72,3.8,1.4,52329.0,43.4
Saint Lucia ,Saint Lucia,65,,60,7761,,82.3,0.28,0.86,0.45,95.03,-0.98,,-1.37,-0.26,2.4,2.1,164464.0,46.3
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,75,,60,6652,28,82.9,,,,120.74,-1.73,,-30.65,-1.73,1.6,1.2,102350.0,25.5
Saint-Barthelemy,France,,,,27700,,,,,,,,,,,,0.2,7209.0,
Saint-Martin ,France,,,,19300,,,,,,,,,0.86,0,1.7,561.5,31949.0,
Sint- Eustatius,Netherlands,,,,26400,,,,,,,,,,,,0.1,3960.0,
Sint-Maarten,Netherlands,,,,27789,,,,,,10.76,,,,,,0.4,74852.0,
Trinidad and Tobago ,Trinidad and Tobago,60,,35,21698,99,75.9,0.15,0.27,-0.54,1618.61,3.6,96,24.83,4.66,-0.04,43.6,1220479.0,41.1
Turks and Caicos,UK,,,,23592,,,,,,,,,,-0.31,2,632.0,41430.0,
Virgin Islands,US,,,,36100,,,0.53,1.32,0.67,,,,,,,3.8,102951.0,