"","Island.Country.EEZ","Attitude.of.Governement","Conflict","Corruption","GDP.per.capita","FDI.potential","Inflation.rates","Regulatory.Quality","Political.Stability","Control.of.Corruption","FDI","Trade.as...GDP","CPI.Growth","GDP.growth","Merchandise.export.growth.rate"
"1","Anguilla",NA,NA,NA,2.45353881278539,NA,NA,3.56,3.48484868,3.49162,0.00827907607642522,-13.29,-1.0310421286031,2.45,NA
"2","Antigua and Barbuda ",NA,NA,NA,2.75114155251142,126,NA,2.12,2.91666683,1.87150832,0.0149265589272565,-14.83,0.399113082039911,4.1,NA
"3","Aruba",NA,NA,NA,2.88812785388128,NA,NA,3.6,3.48484868,NA,-0.00218676122931442,17.29,0.266075388026608,2.5,NA
"4","Bahamas",50,NA,66,2.80821917808219,95,76.1,1,3.0303032,3.60335184,0.0372931442080378,-8.57,1.0310421286031,-1.7,NA
"5","Barbados ",75,NA,61,1.9634703196347,97,83.7,2.04,5.00000028,4.99999984,0.0246599232647367,-6.74,-0.665188470066519,0.8,NA
"6","Bonaire",NA,NA,NA,2.45433789954338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","British Virgin Islands ",NA,NA,NA,4.82876712328767,NA,NA,NA,NA,NA,4.99990311204123,NA,0.465631929046563,2.2,NA
"8","Cayman Islands",NA,NA,NA,5,NA,NA,3.28,4.50757601,2.87709488,1.8396484904856,NA,-1.62416851441242,2,NA
"9","Cuba",10,NA,47,1.32420091324201,NA,66,-5,2.19696982,0.19553072,NA,3.03,2.55543237250554,4.3,NA
"10","CuraÌ¤",NA,NA,NA,1.71232876712329,NA,NA,NA,NA,NA,0.0169689570980119,-1761,0,-1.13,-13.8
"11","Dominica",75,NA,59,1.3013698630137,145,89.5,1.04,4.50757601,1.73184352,0.00348409099717087,-14.4,-0.82039911308204,-1.8,-16.1
"12","Dominican Republic ",75,NA,31,1.81506849315068,79,76.7,-0.16,0.64393943,-2.15083792,0.215236600395303,-4.35,0.465631929046563,7,-4
"13","Grenada",NA,NA,56,1.60958904109589,NA,NA,0.04,3.06818199,0.86592176,0.00587819245824129,-16.17,-0.554323725055432,5.1,-8.6
"14","Guadeloupe",NA,NA,NA,2.90856164383562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Haiti",NA,NA,20,0.205479452054795,160,73.8,-4.64,-2.76515167,-3.51955296,0.0100957253032593,-31.67,5,1.2,8.2
"16","Jamaica",80,NA,NA,1.02739726027397,88,NA,0.44,0.34090911,-0.92178768,0.0769755454792078,-16.99,2.03991130820399,0.8,-13.1
"17","Martinque",NA,NA,39,3.16073059360731,NA,NA,5,3.82575779,3.49162,NA,NA,NA,NA,NA
"18","Montserrat",NA,NA,NA,0.970319634703196,NA,NA,NA,NA,NA,0.000402085028872612,-52.23,-0.65410199556541,2,-11.8
"19","Puerto Rico",NA,NA,NA,4.30365296803653,NA,NA,3.92,3.18181836,0.36312848,0.00757276285703213,NA,NA,NA,NA
"20","Saba",NA,NA,NA,2.69406392694064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Saint Kitts and Nevis",NA,NA,NA,2.91095890410959,NA,NA,0.68,2.53787893,0.75418992,0.00733151183970856,-9.81,-0.953436807095344,3.8,-4.2
"22","Saint Lucia ",65,NA,60,1.36986301369863,NA,82.3,1.12,3.25757594,1.2569832,0.00920726272138899,-1.37,-0.144124168514412,2.4,11.6
"23","Saint Vincent and the Grenadines",75,NA,60,1.28995433789954,149,82.9,NA,NA,NA,0.0116982521412239,-30.65,-0.958980044345898,1.6,-5
"24","Saint-Barthelemy",NA,NA,NA,3.16632420091324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Saint-Martin ",NA,NA,NA,2.20319634703196,NA,NA,NA,NA,NA,NA,0.86,0,1.7,-2.6
"26","Sint- Eustatius",NA,NA,NA,3.01369863013699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Sint-Maarten",NA,NA,NA,1.76586757990868,NA,NA,NA,NA,NA,0.00104251443630586,NA,NA,NA,NA
"28","Trinidad and Tobago ",60,NA,35,3.64155251141552,78,75.9,0.6,1.02272733,-1.50837984,0.156823818935783,24.83,2.58314855875831,-0.04,-6
"29","Turks and Caicos",NA,NA,NA,3.32191780821918,NA,NA,NA,NA,NA,NA,NA,-0.171840354767184,2,7.3
"30","Virgin Islands",NA,NA,NA,4.12100456621005,NA,NA,2.12,5.00000028,1.87150832,NA,NA,NA,NA,NA
